Italian,La Fontana Della Citta,"
https://www.lafontanadellacitta.com/"
Italian,Maggiano's Little Italy,https://www.maggianos.com/?campaign=brand&gclid=CjwKCAjwnPOEBhA0EiwA609RefGTSZKmSKJk48WC4mscbyreolT6JDmIUn_F6Zu2HfbbrWSFuVLs2hoC0PkQAvD_BwE
Italian,Osteria,https://www.osteriaphilly.com/
Italian,Giorgio On Pine,http://www.giorgioonpine.com/
Italian,Pietro's Italian,https://pietrospizza.com/
Mexican,Distrito,https://www.distritophilly.com/
Mexican,Rosy's Taco Bar,https://rosystacobar.com/
Mexican,Mission Taqueria,https://www.missiontaqueria.com/
Mexican,El Vez,https://elvezrestaurant.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button
Mexican,El Ray,https://elreyrestaurant.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button
Chinese,Han Dynasty,https://handynasty.net/
Chinese,Sang Kee Noodle House,https://sangkeenoodlehouse.com/
Chinese,Dim Sum & Noodle,https://www.dimsumandnoodle.com/
Chinese,Mandarin Palace,https://www.phillymandarinpalace.com/?utm_source=gmb&utm_medium=website
Chinese,Nom Wah ,https://nomwah.com/
Indian,Tiffin Indian Cuisine,https://order.tiffin.com/
Indian,Veda,https://vedaphilly.com/
Indian,Ekta Indian Cuisine,https://www.ektaindianrestaurant.com/
Indian,Ateethi,http://ateethirestaurantpa.com/
Indian,Thanal Indian Tavern,https://www.thanalphilly.com/
American,New Deck Tavern,https://www.newdecktavern.com/
American,White Dog Cafe,https://whitedog.com/location/?University-City-1
American,Butcher Bar,http://www.butcherbarphilly.com/
American,Yards Brewing Company,https://yardsbrewing.com/
American,The Love.,https://theloverestaurant.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button
Healthy,The Quick Fixx,https://thequickfixx.com/
Healthy,P.S. & Co.,https://www.puresweets.com/
Healthy,Just Salad,https://www.justsalad.com/
Healthy,Freshii,https://www.freshii.com/ca/en-ca/home
Healthy,Crisp Kitchen,https://www.crispkitchen.com/
Sushi,Crazy Shushi,https://www.phillycrazysushi.com/
Sushi,Morimoto,https://morimotorestaurant.com/
Sushi,Pod,https://podrestaurant.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button
Sushi,Zama,http://www.zamaphilly.com/
Sushi,Double Knot,https://www.doubleknotphilly.com/
